Processing: baby1990.html
reading: baby1990.html
1990
Rikki 824
Riley 827
Rita 547
Roberta 939
Robin 201
Robyn 309
Rochelle 377
Rocio 548
Rosa 242
Rose 307
Rosemary 509
Roxana 686
Roxanna 899
Roxanne 336
Rubi 734
Ruby 291
Ruth 306
Ryan 525
Sabrina 118
Sade 569
Sadie 455
Sally 449
Samantha 5
Samatha 880
Sandra 134
Sandy 379
Sara 34
Sarah 6
Sarai 881
Sasha 198
Savanna 599
Savannah 204
Selena 780
Selina 765
Serena 505
Shaina 408
Shakira 888
Shameka 989
Shamika 978
Shana 349
Shanae 690
Shanell 920
Shanice 727
Shanika 728
Shaniqua 327
Shanna 430
Shannon 68
Shante 612
Shantel 499
Shantell 991
Shari 943
Sharon 274
Shauna 364
Shawna 249
Shayla 337
Shayna 412
Shea 856
Sheena 470
Sheila 413
Shelbi 883
Shelby 100
Shelley 703
Shelly 565
Sherri 921
Sherry 581
Shirley 510
Sidney 922
Sierra 141
Silvia 613
Simone 346
Skye 689
Skylar 563
Skyler 738
Sofia 645
Sonia 315
Sonja 828
Sonya 512
Sophia 250
Sophie 606
Stacey 168
Staci 439
Stacie 420
Stacy 173
Stefani 741
Stefanie 289
Stephanie 7
Stephany 442
Stevie 652
Summer 271
Susan 172
Susana 555
Susanna 857
Suzanne 370
Sydney 150
Sylvia 333
Symone 822
Tabatha 416
Tabitha 164
Talia 607
Tamara 209
Tameka 842
Tamika 572
Tammy 450
Tanesha 809
Tania 489
Tanisha 385
Tanya 252
Tara 85
Tarah 995
Taryn 335
Tasha 246
Tatiana 283
Tayler 708
Taylor 46
Tera 891
Teresa 180
Teri 838
Terra 630
Terri 554
Tess 573
Tessa 290
Theresa 196
Tia 303
Tiana 424
Tianna 712
Tiara 245
Tiera 769
Tierra 352
Tiffani 456
Tiffanie 691
Tiffany 23
Tina 240
Toni 275
Tonya 365
Tori 466
Tosha 979
Tracey 492
Traci 475
Tracie 927
Tracy 224
Tricia 496
Trina 917
Trisha 305
Trista 745
Tyesha 834
Tyler 537
Valencia 815
Valeria 681
Valerie 129
Vanessa 56
Veronica 96
Vicky 945
Victoria 33
Virginia 215
Vivian 448
Viviana 667
Wanda 981
Wendy 205
Whitley 549
Whitney 60
Yadira 635
Yasmin 680
Yesenia 156
Yessenia 663
Yolanda 391
Yvette 361
Yvonne 371
Zoe 504
